age,workclass,education,marital_status,occupation,relationship,race,sex,capital_change,hours_per_week,native_country,target
39,State-gov,2,Never-married,Adm-clerical,Not-in-family,White,Male,between 0 and 50K,40,United-States,0
50,Self-emp-not-inc,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,equal to 0,13,United-States,0
38,Private,0,Divorced,Handlers-cleaners,Not-in-family,White,Male,equal to 0,40,United-States,0
53,Private,0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,equal to 0,40,United-States,0
28,Private,2,Married-civ-spouse,Prof-specialty,Wife,Black,Female,equal to 0,40,Cuba,0
37,Private,3,Married-civ-spouse,Exec-managerial,Wife,White,Female,equal to 0,40,United-States,0
49,Private,0,Married-spouse-absent,Other-service,Not-in-family,Black,Female,equal to 0,16,Jamaica,0
52,Self-emp-not-inc,0,Married-civ-spouse,Exec-managerial,Husband,White,Male,equal to 0,45,United-States,1
31,Private,3,Never-married,Prof-specialty,Not-in-family,White,Female,between 0 and 50K,50,United-States,1
42,Private,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,between 0 and 50K,40,United-States,1
37,Private,1,Married-civ-spouse,Exec-managerial,Husband,Black,Male,equal to 0,80,United-States,1
30,State-gov,2,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,equal to 0,40,India,1
23,Private,2,Never-married,Adm-clerical,Own-child,White,Female,equal to 0,30,United-States,0
32,Private,1,Never-married,Sales,Not-in-family,Black,Male,equal to 0,50,United-States,0
40,Private,1,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,equal to 0,40,United-States,1
34,Private,0,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,equal to 0,45,Mexico,0
25,Self-emp-not-inc,0,Never-married,Farming-fishing,Own-child,White,Male,equal to 0,35,United-States,0
32,Private,0,Never-married,Machine-op-inspct,Unmarried,White,Male,equal to 0,40,United-States,0
38,Private,0,Married-civ-spouse,Sales,Husband,White,Male,equal to 0,50,United-States,0
43,Self-emp-not-inc,3,Divorced,Exec-managerial,Unmarried,White,Female,equal to 0,45,United-States,1
40,Private,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,60,United-States,1
54,Private,0,Separated,Other-service,Unmarried,Black,Female,equal to 0,20,United-States,0
35,Federal-gov,0,Married-civ-spouse,Farming-fishing,Husband,Black,Male,equal to 0,40,United-States,0
43,Private,0,Married-civ-spouse,Transport-moving,Husband,White,Male,between -50K and 0,40,United-States,0
59,Private,0,Divorced,Tech-support,Unmarried,White,Female,equal to 0,40,United-States,0
56,Local-gov,2,Married-civ-spouse,Tech-support,Husband,White,Male,equal to 0,40,United-States,1
19,Private,0,Never-married,Craft-repair,Own-child,White,Male,equal to 0,40,United-States,0
54,Private,1,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,equal to 0,60,South,1
39,Private,0,Divorced,Exec-managerial,Not-in-family,White,Male,equal to 0,80,United-States,0
49,Private,0,Married-civ-spouse,Craft-repair,Husband,White,Male,equal to 0,40,United-States,0
23,Local-gov,1,Never-married,Protective-serv,Not-in-family,White,Male,equal to 0,52,United-States,0
20,Private,1,Never-married,Sales,Own-child,Black,Male,equal to 0,44,United-States,0
